record_id,Unnamed: 0,Title,Authors,Year,Source title,Document Type,Cited by,Abstract,Author Keywords,Affiliations,Authors with affiliations,exported_notes_1,included,asreview_ranking,,,,,,,,,
791,791,A Single Objective Flower Pollination Algorithm for Modeling the Horizontal Flexible Plate System,S. Z. Maseri, M. S. Hadi, A. Jamali, H. M. Yatim, M. H. Ab Talib, I. Z. Mat Darus,2019,2019 2nd International Conference on Applied Engineering (ICAE),IEEE Conferences,1,"Flexible plate structure is a chosen technology used for many applications since past decades ago. However, this structure has a disadvantage that needs to be avoided which is easy to vibrate. Thus, this project presents the modelling of horizontal flexible plate system using bio-inspired flower pollination algorithm. The objective is to obtain an accurate model of the real system in the simulated environment. The collected of real vibration data through experimental study was then utilized to develop the dynamic system model based on linear autoregressive with exogenous (ARX) model structure and optimized by flower pollination algorithm (FPA). The algorithm is a novel bio-inspired optimization algorithm that mimics the real-life processes of the flower pollination. The gained model in this simulation is approved utilizing the most minimal mean squared error, correlation tests, and pole zero graph stability due to check the robustness of the model. The performance of the developed model was then compared with the conventional algorithm known as recursive least square (RLS). The best model achieved in this study will be used as a platform of controller development using active vibration control technique.",recursive least square,flower pollination algorithm,evolutionary swarm algorithm,system identification,flexible plate structure,,"Faculty of Mechanical Engineering, Universiti Teknologi MARA, Shah Alam, Malaysia; Faculty of Mechanical Engineering, Universiti Teknologi MARA, Shah Alam, Malaysia; Faculty of Engineering, Universiti Malaysia Sarawak, Kota Samarahan, Malaysia; School of Mechanical Engineering, Universiti Teknologi Malaysia, Johor, Malaysia; School of Mechanical Engineering, Universiti Teknologi Malaysia, Johor, Malaysia; School of Mechanical Engineering, Universiti Teknologi Malaysia, Johor, Malaysia",,1,1
226,226,Adaptive 6 DOF self-balancing platform for autonomous vehicles,Alkhedher M., Younes T., Mohamad O., Ali U.,2020,International Journal of Computing and Digital Systems,Article,2,,,,,,1,2,,,,,,
1654,1654,Design of Automatic Picking Robot Based on 2-DOF Stabilized Platform,C. Zhang, B. Zhang, H. Zhang,2021,2021 IEEE International Conference on Mechatronics and Automation (ICMA),IEEE Conferences,0,"Farmland automatic picking robot with large span operation ability in the vertical and horizontal direction has a wide application prospect. It can be used to pick bananas, boro honey, grapefruit, etc. In this paper, an automatic picking robot based on 2-DOF stabilized platform is designed for the banana picking. There are three main components of the picking robot including the moving chassis which can adapt to the complex ground environment in the field, a 3-DOF mechanical arm and a grip-shear integrated operation handle at the end of the manipulator arm. A 2-DOF stabilization platform is designed to compensate the rolling and pitching caused by the soft soil and the posture change of the manipulator arm.",Picking robot,Stabilized platform,Grip-shear integrated operation handle,,"Innovation Center Of Robotics And Intelligent Equipment Dongguan University Of Technology Songshanhu Scientific Industrial Park, Dongguan, Guangdong Province, China; Innovation Center Of Robotics And Intelligent Equipment Dongguan University Of Technology Songshanhu Scientific Industrial Park, Dongguan, Guangdong Province, China; Department of mechanical and electrical enginee, Guangdong University Of Technology Guangzhou Higher Education Mega Center, Guangzhou, Guangdong Province, China",,1,3,,,,,
514,514,A Comparative Analysis of Control Methods Applied to Horizontal 2 DOF Robotic Arms,A. Giuliano, G. Bone, S. A. Gadsden, M. AlShabi,2023,2023 Advances in Science and Engineering Technology International Conferences (ASET),IEEE Conferences,0,"Robotic arm joint control is a well-explored field in the literature, given the need for accurate and robust path planning and execution for industrial robots. This paper explores various filtering control algorithms and compares their performance on a 2 degrees of freedom (DOF) horizontal robotic arm through an extensive simulation. The dynamics of a horizontal 2 DOF robot are outlined as well as the derivation of the models for the filters tested. The classic PID controller performance is used as the baseline and tested against the sliding mode control filter, sliding mode control filter with integral action, and Plestan sliding mode control filter. The performance of the various filters is benchmarked against combinations of variable payload, friction, noise, and saturation conditions.",Control,PID,Sliding-Mode Control,Robotics,Robotic Arm,,"Department of Mechanical Engineering, McMaster University, Hamilton, Canada; Department of Mechanical Engineering, McMaster University, Hamilton, Canada; Department of Mechanical Engineering, McMaster University, Hamilton, Canada; Department of Mechanical and Nuclear Engineering, University of Sharjah, Sharjah, UAE",,1,4,,
388,388,Real-time control of ball balancer using neural integrated fuzzy controller,Singh R., Bhushan B.,2020,Artificial Intelligence Review,Article,14,,,,,,1,5,,,,,,,,
2437,2437,Ball Balancing on a Stewart Platform using Fuzzy Supervisory PID Visual Servo Control,K. Yaovaja,2018,2018 5th International Conference on Advanced Informatics: Concept Theory and Applications (ICAICTA),IEEE Conferences,5,"In this paper, fuzzy supervisor of PID controller for ball balancing on a Stewart platform (ball and plate system) was implemented. Small-size Stewart platform was built and used for demonstrating the application of the controller. HD web camera was the visual sensor for sensing the ball position. After image processing, by using color threshold and object detection, the ball position was a feedback signal of the controller. In ball balancing control problem, the x-direction and y-direction can be decentralized and are separated into two PID control loops. Conventional PID control might give poor performance due to nonlinearity such as friction and error from the visual tracking. Model-based control design is complicated and could be suffered from modeling uncertainties. Fuzzy controller, which is a nonlinear control, is chosen to resolve the problem. By the way, the PID controller can be enhanced by using a fuzzy supervisory system. By using a few human intuitive rules, from ball speed and ball location, control performance can be improved. Each PID controller gains were adjusted by the fuzzy supervisor. The controller generated the pitch and roll references. The reference signals were transformed to six servo motor set-points by using the inverse kinematics of the platform. PID position controllers were used for the six servo motors. The ball position results showed enhancement by the proposed control system.",Stewart Platform,Fuzzy Supervisory Control,Ball and Plate,Robots,Machine vision,,"Department of Mechanical Engineering, Faculty of Engineering at Sriracha, Kasetsart University, Chonburi, Thailand",,1,6,,,,,
397,397,Ball on the plate balancing control system,Kopichev M.M., Putov A.V., Pashenko A.N.,2019,IOP Conference Series: Materials Science and Engineering,Conference paper,2,,,,,,1,7,,,,,,,
403,403,Self-Balancing and Position Control of a Balancer System Using a Pattern-Based Intelligent Optimization Method,Chaudhary A., Bhushan B.,2023,International Journal of Pattern Recognition and Artificial Intelligence,Article,0,,,,,,1,8,,,,,,,,
2448,2448,AU ball on plate balancing robot,E. Ali, N. Aphiratsakun,2015,2015 IEEE International Conference on Robotics and Biomimetics (ROBIO),IEEE Conferences,7,"The ball on plate system is the extension of traditional ball on beam balancing problem in control theory. In this paper the implementation of a proportional-integral-derivative controller (PID controller) to balance a ball on a plate has been demonstrated. To increase the system response time and accuracy multiple controllers are piped through a simple custom serial protocol to boost the processing power, and overall performance. A single HD camera module is used as a sensor to detect the ball's position and two RC servo motors are used to tilt the plate to balance the ball. The result shows that by implementing multiple PUs (Processing Units) redundancy and high resolution can be achieved in real-time control systems.",,,"Department of Computer Engineering, Assumption University, Thailand; Faculty of Mechatronics Engineering, Assumption University, Thailand",,1,9,,,,,,,,
2441,2441,"Design, control and implementation of a ball on plate balancing system",A. Zeeshan, N. Nauman, M. Jawad Khan,2012,Proceedings of 2012 9th International Bhurban Conference on Applied Sciences & Technology (IBCAST),IEEE Conferences,20,"The ball balancing system in a 2-degree of freedom platform is of unique importance in understanding the control system applications. It is a platform to test and identify different aspects of controls, as the non-linearities increases with the degree of freedoms. So far many techniques have been applied to sense the position of the ball on a plate in real time, most common of them is touchpad and audio video camera system. This paper describes the design, development and control strategy of balancing a ball on a plate using low cost phototransistor sensors. These Phototransistors are triggered by monochromatic sharp beams of laser light. The plate area is 1sq. foot and an array of 11 sensors each 1 inch apart is used on each axis making total of 121 points on the plate. To balance the ball, two motors are used one for each axis. The ground motor is fixed, while to control the other axis second motor is fixed on top of the ground motor. Hence the system utilizes two sets of independent control mechanisms, each operating in isolation for each axis. ATMEGA16 microcontroller is used which is an Atmel AVR family controller with a flash memory of 16 kb. Since it has two independently switched PWM channels, therefore, it makes this controller ideal for the purpose. Dynamic modeling of the system yields the digital controller capable of balancing the ball in any of the desired positions out of 121 points, on the plate. Although the system becomes quite discrete but still it provides sufficient basis for implementing different control strategies and investigating different system parameters such as actuation mechanism, sensors, controller design and experimental testing, under the predefined condition of the ball diameter.",,,"Department of Mechatronics College of E& ME, National University of Sciences &Technology, Pakistan; Department of Mechatronics, Air University, Islamabad, Pakistan; Department of Mechatronics, Air University, Islamabad, Pakistan",,1,10,,,,,,,
2439,2439,Control of balancing mobile robot on a ball with fuzzy self-adjusting PID,X. Su, C. Wang, W. Su, Y. Ding,2016,2016 Chinese Control and Decision Conference (CCDC),IEEE Conferences,4,"The on-ball balancing mobile robot is a robot which achieves a full range of movement by rolling the ball, it can work flexibility and freedom in narrow areas. In this paper, a dynamic model is established by using Lagrange method to the on-ball balancing mobile robot. On the basis of PID control, a fuzzy self-adjusting PID control method is proposed to control the robot's balance. The simulation results show that the fuzzy self-adjusting PID controller can achieve the balance control of the ball effectively and has the characteristics of fast response and small overshoot.",On-ball balancing mobile robot,Dynamic model,Fuzzy self-adjusting PID control,,"College of Electronic Information Engineering, Inner Mongolia University, Hohhot, China; College of Electronic Information Engineering, Inner Mongolia University, Hohhot, China; College of Electronic Information Engineering, Inner Mongolia University, Hohhot, China; College of Electronic Information Engineering, Inner Mongolia University, Hohhot, China",,1,11,,,,
2453,2453,I-PD controller design based on generalized KYP lemma for ball and plate system,S. Mochizuki, H. Ichihara,2013,2013 European Control Conference (ECC),IEEE Conferences,9,"A ball-on-plate balancing system, the ball and plate, has a camera to catch a ball position and a plate whose angle of inclination is limited. This paper proposes a design method of PID control based on the generalized Kalman-Yakubovich-Popov lemma for the ball and plate. The design method has two features: the first one is that a structure of the controller is called I-PD to suppress a large input signal against a major change of the reference signal; the second one is that a filter is introduced into the feedback loop to reduce an influence of the noise measurement from the camera. Both simulation and experiment evaluate the effectiveness of the design method.",,,"Graduate School of Science and Technology, Meiji University, Kawasaki-shi, Kanagawa, Japan; Department of Science and Engineering, Meiji University, Kawasaki-shi, Kanagawa, Japan",,1,12,,,,,,,,
387,387,Reinforcement Learning and Fuzzy PID Control for Ball-on-plate Systems,Lo J.-H., Wang P.-K., Huang H.-P.,2022,"2022 International Automatic Control Conference, CACS 2022",Conference paper,2,,,,,,1,13,,,,,,,
2438,2438,Modelling and control of ball and beam system using PID controller,P. V. M. Maalini, G. Prabhakar, S. Selvaperumal,2016,2016 International Conference on Advanced Communication Control and Computing Technologies (ICACCCT),IEEE Conferences,18,"The ball and beam is a basic reference point system with high nonlinearity and unstable system in its dynamics. Many simple and present day control methods have been used to balance the ball and beam system. The goal of this project is to model and control the ball and beam system. Here considering the beam angle of servo motor and designing controllers to control the ball position. Lagrange approach is used to find the ball position of the system. It is based on energy balance of the system. Based on the transfer function and state space model, open loop system and closed loop system are designed. The system is designed by using two Degrees-of-Freedom. The nonlinear characteristic of the second order system is regulated by using PID controller. The controller controls the ball position in moving the beam using the motor and beaten the disturbances. The parameters of the PID are tuned using PID tuning Algorithm. In order to analyse the accomplishment of PID to learn the effect of simplifying expectation, two control methods are designed and implemented using Proportional Derivative Integral (PID) as non-model based control method, Proportional Derivative and Proportional integral combination of model based and non-model based control methods.",PI control,PD control,PID control,,"Department of Electrical and Electronics engineering, Syed Ammal Engineering College, Ramanathapuram, India; Department of Electrical and Electronics engineering, Syed Ammal Engineering College, Ramanathapuram, India; Department of Electrical and Electronics engineering, Syed Ammal Engineering College, Ramanathapuram, India",,1,14,,,,,
399,399,Development of Nonlinear Dynamics Simulator for 2-DOF Ball Balancing Platform to Assist Distance Learning of Control Systems,Ranganath C., Annasiwaththa B.,2022,"7th International Conference on Information Technology Research: Digital Resilience and Reinvention, ICITR 2022 - Proceedings",Conference paper,0,,,,,,1,15,,,,,,,,
396,396,A Comparison Between PID and LQR Controllers for Stabilization of a Ball Balancing Robot,Sankhyan S.B., Wadhwa G.K.,2023,International Journal of Automation and Smart Technology,Article,0,,,,,,1,16,,,,,,,,
2440,2440,Visual Servoing Based Model Reference Adaptive Control with Lyapunov Rule for a Ball on Plate Balancing System,G. Mani, N. Sivaraman, R. Kannan,2018,2018 International Conference on Intelligent and Advanced System (ICIAS),IEEE Conferences,0,"The 2 Degree of Freedom (DoF) ball balancer system is a highly nonlinear system where the position of the ball is controlled by controlling the two servo motors simultaneously. In general, conventional Proportional Integral Derivative (PID) controller and Proportional Velocity (PV) is used to control the location of the ball on a plate in X and Y axes. But the major concerns are both classic PID and PV fails to track the ball position accurately due to non-linearity, process parameters variations and uncertainties. The above demerits are overcome by implementing Model Reference Adaptive Controller (MRAC) based PID controller. The closed loop reference model is chosen based on desired time domain specifications and by dominant pole placement technique. The gain values of the PID controller are tuned by MRAC to obtain optimal performance. MRAC based PID controller with MIT rule, modified MRAC with MIT approach, and modified MRAC with the Lyapunov rule are implemented in Simulink. The controller's performance on the benchmark Quanser 2 Dof ball balancer system is evaluated in real-time and comparative analysis is made. From the comparison, it is found modified MRAC based Lyapunov approach suppress the overshoot, provides better stability and tracks the system set-point accurately. On the other hand modified MRAC offers less Root Mean Square (RMS) value and faster tracking with less adaptation gain.",Ball balancer system,MRAC,Lyapunov rule,Modified MRAC,MIT rule,,"School of Electrical Engineering, VIT University, Vellore, India; Mercedes Benz Research and Development, Bangalore, India; Dept. of Electrical & Electronics Engineering, Universiti Teknologi PETRONAS, Malaysia",,1,17,,,
2449,2449,Pose Optimization of a Single Ball Self-Balancing Mobile Robot Based on IMU and Visual Fusion,S. Jing, Z. Ma, K. Yi, H. Li, Z. Li,2018,2018 37th Chinese Control Conference (CCC),IEEE Conferences,1,"The single ball self-balancing mobile robot is a typical multivariable, high-order, nonlinear and static instability system, IMU inertial devices are generally used to obtain attitude parameters of the system. The data errors obtained by the inertial devices will accumulate over time, and the long-term pose estimation is rather unreliable. But for some quick motion over a short period of time, inertial sensors can get very accurate estimates. Monocular cameras are often used as image real-time monitoring sensors by single ball self-balancing mobile robots. The camera's data does not accumulate errors over time, so there is essentially no drift. Therefore, camera pose estimation can effectively correct the inertial sensor error. In a fast-moving environment, the shutter-roller camera cannot capture the image clearly and there may be ghosting or overlapping of two areas too little, resulting in mismatched or unmatched conditions. So that the robot makes a wrong estimate. In this paper, the non-linear optimization method is used to fuse the IMU and monocular attitude data to obtain the optimal pose estimation of the robot. Based on the modeling of robot using Lagrange's equation method, the control of single ball robot is realized by using fuzzy PID algorithm. Experiments show that this scheme can respond quickly to the change of the attitude of the ball self-balancing robot and keep the attitude of the robot relatively stationary, so that the robot can move steadily.",Ball self-balancing robot,Attitude detection,Nonlicear optimization,Visual inertial data fusion,,"Harbin Engineering University, Harbin, China; Fujian Provincial Key Laboratory of Information Processing and Intelligent Control, Minjiang University, Fuzhou, China; Harbin Engineering University, Harbin, China; Harbin Engineering University, Harbin, China; Fujian Provincial Key Laboratory of Information Processing and Intelligent Control, Minjiang University, Fuzhou, China",,1,18,,
401,401,Hybrid State of Matter Search Algorithm and its Application to PID Controller Design for Position Control of Ball Balancer System,Khanduja N., Bhushan B.,2022,Iranian Journal of Science and Technology - Transactions of Electrical Engineering,Article,1,,,,,,1,19,,,,,,,,
